,price,bedrooms,bathrooms,m2_living,m2_lot,floors,waterfront,view,condition,grade,m2_above,m2_basement,yr_built,yr_renovated,zipcode
0,221.9,3,1.0,109.62554,524.9019499999999,1.0,0,0,3,7,109.62554,0.0,1955,0,98178
1,538.0,3,2.25,238.76071,672.803526,2.0,0,0,3,7,201.59951,37.1612,1951,1991,98125
2,180.0,2,1.0,71.53531,929.03,1.0,0,0,3,6,71.53531,0.0,1933,0,98028
3,604.0,4,3.0,182.08988,464.515,1.0,0,0,5,7,97.54814999999999,84.54173,1965,0,98136
4,510.0,3,2.0,156.07704,750.65624,1.0,0,0,3,8,156.07704,0.0,1987,0,98074
6,257.5,3,2.25,159.328645,633.505557,2.0,0,0,3,7,159.328645,0.0,1995,0,98003
7,291.85,3,1.5,98.47718,902.181033,1.0,0,0,3,7,98.47718,0.0,1963,0,98198
8,229.5,3,1.0,165.36734,693.98541,1.0,0,0,3,7,97.54814999999999,67.81919,1960,0,98146
9,323.0,3,2.5,175.58667,609.44368,2.0,0,0,3,7,175.58667,0.0,2003,0,98038
10,662.5,3,2.5,330.73468,910.0777879999999,1.0,0,0,3,8,172.79958,157.9351,1965,0,98007
11,468.0,2,1.0,107.76748,557.418,1.0,0,0,4,7,79.89658,27.8709,1942,0,98115
12,310.0,3,1.0,132.85129,1848.862603,1.5,0,0,4,7,132.85129,0.0,1927,0,98028
13,400.0,3,1.75,127.27711,899.30104,1.0,0,0,4,7,127.27711,0.0,1977,0,98074
14,530.0,5,2.0,168.15443,450.57955,1.5,0,0,3,7,168.15443,0.0,1900,0,98107
15,650.0,4,3.0,274.06385,464.515,2.0,0,3,3,9,183.94794,90.11591,1979,0,98126
16,395.0,3,2.0,175.58667,1304.35812,2.0,0,0,3,7,175.58667,0.0,1994,0,98019
17,485.0,4,1.0,148.6448,399.4829,1.5,0,0,4,7,148.6448,0.0,1916,0,98103
18,189.0,2,1.0,111.4836,915.09455,1.0,0,0,4,7,111.4836,0.0,1921,0,98002
19,230.0,3,1.0,116.12875,908.033922,1.0,0,0,4,7,116.12875,0.0,1969,0,98003
20,385.0,4,1.75,150.50286,462.65694,1.0,0,0,4,7,79.89658,70.60628,1947,0,98133
22,285.0,5,2.5,210.88981,585.2889,2.0,0,0,3,8,210.88981,0.0,1995,0,98092
23,252.7,2,1.5,99.40621,895.863629,1.0,0,0,3,7,99.40621,0.0,1985,0,98030
24,329.0,3,2.25,227.61235,603.8695,2.0,0,0,4,8,227.61235,0.0,1985,0,98030
25,233.0,3,2.0,158.86413,436.365391,1.5,0,0,5,6,158.86413,0.0,1941,0,98002
26,937.0,3,1.75,227.61235,250.001973,2.0,0,0,3,8,162.58025,65.0321,1915,0,98119
27,667.0,3,1.0,130.0642,146.879643,1.5,0,0,5,8,130.0642,0.0,1909,0,98112
28,438.0,3,1.75,141.21256,592.72114,1.0,0,0,3,7,73.39337,67.81919,1948,0,98115
